2026학년도 1학기 본과정(계약학과 포함) 전체 강의시간표,,,,,,,,
1. 2026. 1. 30.자 시간표로 교원 충원 및 강의실 사정 등에 따라 변동될 수 있음,,,,,,,,
2. 교양 교과목에 대한 상세 안내는 교양 시간표 안내 공지를 참조,,,,,,,,
3. 실용음악과 전공실기 교과목 배정 관련 사항은 학과 문의,,,,,,,,
과정부분,학과명,과목명,분반,교수명,학년,이수구분명,학점,시간표
본과정,기계공학과,AI영상인식응용실습,103,임헌봉,1,전공과정,3,월 14:00 - 14:50 ( 공113 )  월 15:00 - 15:50 ( 공113 )  월 16:00 - 16:50 ( 공113 )
본과정,기계공학과,AI영상인식응용실습,104,임헌봉,1,전공과정,3,월 09:00 - 09:50 ( 공113 )  월 10:00 - 10:50 ( 공113 )  월 11:00 - 11:50 ( 공113 )
본과정,기계공학과,기계공학기초,101,임헌봉,1,전공과정,2,목 15:00 - 15:50 ( 공113 )  목 16:00 - 16:50 ( 공113 )
본과정,기계공학과,기계공학기초,102,임헌봉,1,전공과정,2,목 10:00 - 10:50 ( 공113 )  목 11:00 - 11:50 ( 공113 )
본과정,기계공학과,기계공학기초,103,임헌봉,1,전공과정,2,목 13:00 - 13:50 ( 공113 )  목 14:00 - 14:50 ( 공113 )
본과정,기계공학과,기계정보능력,101,유경화,1,교양과정,2,목 13:00 - 13:50 ( 공116 )  목 14:00 - 14:50 ( 공116 )
본과정,기계공학과,기계정보능력,102,유경화,1,교양과정,2,목 15:00 - 15:50 ( 공116 )  목 16:00 - 16:50 ( 공116 )
본과정,기계공학과,기계정보능력,103,유경화,1,교양과정,2,목 10:00 - 10:50 ( 공116 )  목 11:00 - 11:50 ( 공116 )
본과정,기계공학과,기계제작실습,101,최진석,1,전공과정,3,금 10:00 - 10:50 ( 공B106 )  금 11:00 - 11:50 ( 공B106 )  금 12:00 - 12:50 ( 공B106 )
본과정,기계공학과,기계제작실습,102,최진석,1,전공과정,3,금 14:00 - 14:50 ( 공B106 )  금 15:00 - 15:50 ( 공B106 )  금 16:00 - 16:50 ( 공B106 )
본과정,기계공학과,기계제작실습,103,최진석,1,전공과정,3,월 09:00 - 09:50 ( 공B106 )  월 10:00 - 10:50 ( 공B106 )  화 11:00 - 11:50 ( 공B106 )
본과정,기계공학과,기계제작실습,104,최진석,1,전공과정,3,월 14:00 - 14:50 ( 공B106 )  월 15:00 - 15:50 ( 공B106 )  월 16:00 - 16:50 ( 공B106 )
본과정,기계공학과,승강기기초,101,최진석,1,전공과정,2,목 10:00 - 10:50 ( 공117 )  목 11:00 - 11:50 ( 공117 )
본과정,기계공학과,승강기기초,102,최진석,1,전공과정,2,목 13:00 - 13:50 ( 공117 )  목 14:00 - 14:50 ( 공117 )
본과정,기계공학과,승강기기초,103,최진석,1,전공과정,2,목 15:00 - 15:50 ( 공117 )  목 16:00 - 16:50 ( 공117 )
본과정,기계공학과,전산응용제도,101,박용군,1,전공과정,2,화 12:00 - 12:50 ( 공110 )  화 13:00 - 13:50 ( 공110 )
본과정,기계공학과,전산응용제도,102,박용군,1,전공과정,2,화 14:00 - 14:50 ( 공110 )  화 15:00 - 16:50 ( 공110 )
본과정,기계공학과,전산응용제도,103,박용군,1,전공과정,2,화 10:00 - 10:50 ( 공110 )  화 11:00 - 11:50 ( 공110 )
본과정,기계공학과,AI설계최적화실습,101,임헌봉,2,전공과정,3,화 12:00 - 12:50 ( 공113 )  화 13:00 - 13:50 ( 공113 )  화 14:00 - 14:50 ( 공113 )
본과정,기계공학과,AI설계최적화실습,102,임헌봉,2,전공과정,3,수 12:00 - 12:50 ( 공113 )  수 13:00 - 13:50 ( 공113 )  수 14:00 - 14:50 ( 공113 )
본과정,기계공학과,AI설계최적화실습,103,임헌봉,2,전공과정,3,수 15:00 - 15:50 ( 공113 )  수 16:00 - 16:50 ( 공113 )  수 17:00 - 17:50 ( 공113 )
본과정,기계공학과,냉동공조,101,최진석,2,전공과정,2,화 10:00 - 10:50 ( 공108 )  화 11:00 - 11:50 ( 공108 )
본과정,기계공학과,냉동공조,102,최진석,2,전공과정,2,화 13:00 - 13:50 ( 공108 )  화 14:00 - 14:50 ( 공108 )
본과정,기계공학과,냉동공조,103,최진석,2,전공과정,2,화 15:00 - 15:50 ( 공108 )  화 16:00 - 16:50 ( 공108 )
본과정,기계공학과,메카트로닉스,101,박용군,2,전공과정,2,목 13:00 - 13:50 ( 공110 )  목 14:00 - 14:50 ( 공110 )
본과정,기계공학과,메카트로닉스,102,박용군,2,전공과정,2,목 09:00 - 09:50 ( 공110 )  목 10:00 - 10:50 ( 공110 )
본과정,기계공학과,메카트로닉스,103,박용군,2,전공과정,2,목 15:00 - 15:50 ( 공110 )  목 16:00 - 16:50 ( 공110 )
본과정,기계공학과,스마트설비실무실습,101,정상훈,2,전공과정,3,수 12:00 - 12:50 ( 공B106 )  수 13:00 - 13:50 ( 공B106 )  수 14:00 - 14:50 ( 공B106 )
본과정,기계공학과,스마트설비실무실습,102,정상훈,2,전공과정,3,수 15:00 - 15:50 ( 공B106 )  수 16:00 - 16:50 ( 공B106 )  수 17:00 - 17:50 ( 공B106 )
본과정,기계공학과,스마트설비실무실습,103,정상훈,2,전공과정,3,화 12:00 - 12:50 ( 공B106 )  화 13:00 - 13:50 ( 공B106 )  화 14:00 - 14:50 ( 공B106 )
본과정,기계공학과,승강기구조및실습(S),101,안일규,2,전공과정,3,목 09:00 - 09:50 ( 공107 )  목 10:00 - 10:50 ( 공107 )  목 11:00 - 11:50 ( 공107 )
본과정,기계공학과,승강기구조및실습(S),102,안일규,2,전공과정,3,목 15:00 - 15:50 ( 공107 )  목 16:00 - 16:50 ( 공107 )  목 17:00 - 17:50 ( 공107 )
본과정,기계공학과,승강기구조및실습(S),103,안일규,2,전공과정,3,목 12:00 - 12:50 ( 공107 )  목 13:00 - 13:50 ( 공107 )  목 14:00 - 14:50 ( 공107 )
